,0,1,2,4,6,7,8,9,10,11,12,14,15,16,17,18,19,19_assign,9_assign,11_assign,2_assign
368597,87,26,0,99,85,79,2,81,57,19,82,95,50,2,61,91,38,22,531441,76,0
368587,95,69,18,92,47,14,97,66,48,88,73,19,61,3,0,89,44,23,287496,72,5832
368551,84,2,69,35,78,76,39,78,0,86,22,85,72,67,74,37,86,92,474552,79,328509
368572,29,30,93,43,96,14,18,67,93,74,16,73,11,28,79,66,24,97,300763,49,804357
368545,64,25,29,39,44,56,98,28,55,48,58,2,98,80,44,96,68,18,21952,28,24389
368560,16,40,85,83,69,44,12,97,65,99,60,84,19,37,79,33,51,18,912673,75,614125
43640,87,36,31,43,33,56,1,56,34,97,61,3,81,70,8,53,62,238328,175616,912673,29791
322271,7,50,33,92,33,74,93,21,89,29,90,65,86,79,18,65,67,41,9261,24389,35937
368565,48,25,3,40,42,30,62,95,99,58,41,56,44,23,29,9,37,84,857375,15,27
368586,35,14,12,22,97,0,25,52,44,71,37,23,30,60,36,21,81,40,140608,4,1728
368606,38,93,69,20,75,53,34,5,54,12,66,91,29,83,17,51,16,36,125,98,328509
368537,32,15,91,20,27,52,81,39,10,12,81,39,37,61,74,90,28,27,59319,85,753571
368549,71,20,17,23,8,96,41,84,82,43,74,39,79,98,36,54,3,9,592704,34,4913
368534,34,51,77,68,54,55,70,13,80,78,68,81,55,48,84,84,99,99,2197,8,456533
368600,41,25,26,65,48,28,40,80,10,67,23,55,12,67,96,81,72,28,512000,20,17576
368596,78,32,83,1,61,78,69,22,54,28,91,80,36,54,81,7,56,28,10648,67,571787
368550,39,45,0,91,62,75,3,70,50,59,42,54,90,2,50,97,19,69,343000,66,0
368557,47,91,60,38,49,36,12,56,49,0,9,15,20,97,29,97,96,0,175616,47,216000
368547,82,33,62,0,32,94,13,63,44,18,1,25,75,20,11,99,21,50,250047,79,238328
368538,88,16,74,62,46,37,5,4,32,25,5,13,48,16,54,4,19,28,64,18,405224
368564,4,17,78,71,19,22,86,54,23,75,93,42,29,29,33,22,64,87,157464,46,474552
368639,82,71,8,14,3,94,62,52,22,74,95,61,48,24,46,55,91,86,24,0,35
368640,14,40,9,46,46,92,51,40,44,55,15,12,49,26,63,39,38,51,22,34,87
368641,49,33,44,98,76,12,3,2,9,51,13,60,59,57,55,19,89,56,81,11,37
368642,54,64,34,44,45,47,72,67,53,92,66,23,82,65,31,6,30,18,35,96,73
368643,90,28,77,13,11,24,11,62,84,89,30,83,32,70,94,24,31,23,67,16,68
368644,65,93,60,8,94,96,2,50,31,35,41,41,83,50,7,21,4,10,57,22,42
368645,20,89,42,84,86,60,52,82,82,58,42,90,63,29,80,89,73,68,11,7,33
368646,37,69,86,19,10,13,11,7,29,16,81,19,21,18,86,72,81,20,90,44,54
368647,2,1,71,17,74,33,88,28,72,80,2,39,90,84,74,92,15,41,58,58,63
368648,6,20,17,29,44,0,37,4,15,41,45,30,48,81,21,4,60,55,3,45,89
368649,67,16,35,33,65,92,43,60,63,27,45,66,53,49,56,1,10,37,54,22,47
368650,26,48,41,95,50,87,60,75,71,43,47,16,71,92,26,20,39,97,76,2,2
368651,96,76,30,89,48,91,34,44,30,22,0,59,17,64,15,84,0,98,17,47,66
368652,46,51,86,77,37,89,33,97,27,31,91,44,60,51,91,66,29,69,95,43,46
368653,74,42,22,31,75,94,25,27,31,32,55,89,19,37,58,27,97,41,83,93,16
368654,77,58,86,78,34,59,19,63,98,85,17,33,12,84,19,94,66,32,82,51,0
368655,8,56,16,84,10,69,6,31,69,22,88,44,66,39,12,13,88,8,27,76,28
368656,59,70,45,10,12,12,16,94,38,84,47,60,11,99,62,42,88,16,44,19,99
368657,42,30,10,47,43,81,34,76,57,90,34,10,0,74,50,42,30,22,13,68,25
368658,59,4,52,98,48,20,42,44,43,4,73,0,97,75,16,46,91,95,74,32,56
368659,14,94,96,57,34,73,98,83,26,79,72,11,45,55,17,39,64,68,4,25,90
368660,31,95,23,60,64,79,64,66,6,46,23,57,16,78,45,49,20,37,21,58,18
368661,40,68,10,72,13,94,61,20,76,29,45,43,3,95,53,64,60,50,92,80,40
368662,60,50,43,58,62,64,68,94,71,50,20,97,49,88,35,49,99,19,16,66,84
368663,82,87,76,86,84,75,14,18,63,89,59,54,35,63,83,42,98,31,87,50,79
368664,99,1,16,60,61,63,49,53,90,52,59,7,65,19,24,20,23,31,57,68,74
368665,81,37,86,61,54,45,23,59,99,1,96,72,68,67,25,62,76,8,20,58,85
368666,58,22,6,73,7,89,39,65,72,25,15,41,71,17,61,29,31,52,13,11,89
368667,62,54,87,4,41,40,9,2,81,64,81,50,10,46,49,51,41,88,90,63,86
368668,14,78,82,97,49,13,32,60,61,54,16,90,66,11,69,76,20,48,95,68,49
368669,48,16,45,16,7,31,4,50,6,90,96,24,32,16,68,92,33,42,70,31,18
368670,73,23,72,93,37,73,62,2,22,74,13,97,69,83,59,41,99,2,98,83,75
368671,47,97,40,99,63,13,18,57,79,8,54,43,51,44,21,86,25,65,31,64,40
368672,62,4,57,21,61,9,9,35,34,37,30,48,69,81,40,49,68,9,96,5,49
368673,32,19,62,28,49,76,3,91,96,12,77,26,30,50,82,89,28,71,17,66,84
368674,89,18,80,38,0,38,12,79,20,61,48,24,58,17,11,80,10,23,52,0,85
368675,63,45,8,16,73,50,53,16,26,4,63,95,17,34,94,90,57,73,80,62,2
368676,50,47,55,58,38,36,68,20,67,70,53,96,12,49,58,90,78,10,31,87,32
368677,63,20,50,65,73,40,42,60,3,98,87,11,51,95,96,35,82,85,78,91,81
368678,2,31,90,42,30,72,22,97,52,78,68,87,95,81,60,41,1,88,95,56,88
368679,77,83,67,38,36,31,92,69,1,7,86,45,82,37,95,0,49,83,4,2,45
368680,93,37,55,28,31,75,54,4,0,41,98,7,68,7,18,10,7,13,54,74,71
368681,16,94,35,58,76,10,26,22,39,89,34,58,85,23,59,3,9,25,85,91,76
368682,39,59,86,36,1,74,5,33,71,89,84,5,36,65,95,74,62,82,32,80,2
368683,39,36,81,76,73,10,11,60,39,71,98,40,32,70,73,98,74,34,92,78,61
368684,44,95,11,64,77,13,26,34,56,29,16,54,9,67,25,70,71,1,91,80,36
368685,98,11,20,71,99,61,95,21,76,61,90,8,40,43,11,39,41,9,41,13,96
368686,76,91,88,62,66,95,9,5,69,5,61,1,61,23,95,23,95,63,87,67,12
368687,5,80,18,18,92,82,32,66,27,57,40,18,6,59,19,39,99,49,27,76,74
368688,8,64,55,36,78,33,36,48,0,50,24,21,57,34,16,42,0,80,85,76,2
368689,37,7,40,95,20,38,37,54,4,91,61,5,1,99,53,7,43,85,70,55,76
368690,18,14,32,85,25,4,16,19,56,87,66,84,57,70,7,3,34,4,14,49,86
368691,95,78,58,83,73,28,71,28,48,8,25,30,39,17,41,81,90,23,53,97,79
368692,73,12,86,50,96,33,0,29,20,98,23,53,31,65,9,0,6,7,42,90,20
368693,16,40,42,19,70,34,7,65,16,21,4,5,96,87,85,72,37,55,97,24,19
368694,66,9,84,8,94,73,90,67,37,12,79,13,52,57,76,68,22,43,75,0,64
368695,26,15,70,92,11,0,44,1,40,44,8,1,36,35,94,11,8,15,51,48,76
368696,10,7,40,63,53,12,55,22,6,44,72,15,49,2,0,67,77,89,37,29,3
368697,28,25,57,32,79,51,4,94,30,46,74,35,63,69,82,20,34,35,60,19,38
368698,26,2,70,46,27,87,82,84,99,25,12,15,94,9,32,92,65,7,68,24,18
368699,84,17,14,47,18,70,22,39,83,34,11,48,5,59,24,88,19,32,64,6,80
368700,5,29,51,30,48,26,60,12,59,19,39,50,13,33,46,32,49,89,42,37,14
368701,29,38,88,61,71,75,16,52,66,66,64,17,60,30,43,77,96,45,12,82,43
368702,67,43,97,55,2,25,85,18,89,59,71,6,87,31,50,79,90,96,80,32,11
368703,31,17,69,69,53,68,98,91,43,22,66,21,39,49,42,11,35,79,76,44,50
368704,22,52,91,5,55,98,43,51,33,88,26,38,47,59,25,36,33,92,55,28,66
368705,79,1,64,82,39,93,48,95,52,48,73,79,14,80,29,51,44,28,62,97,35
368706,98,14,4,4,80,76,77,17,54,63,29,25,79,80,56,74,98,30,2,17,92
