,0,1,2,4,6,7,8,9,10,11,12,14,15,16,17,18,19,19_assign,9_assign,11_assign,2_assign
368597,87,26,0,99,85,79,2,81,57,19,82,95,50,2,61,91,38,22,531441,76,0
368587,95,69,18,92,47,14,97,66,48,88,73,19,61,3,0,89,44,23,287496,72,5832
368551,84,2,69,35,78,76,39,78,0,86,22,85,72,67,74,37,86,92,474552,79,328509
368572,29,30,93,43,96,14,18,67,93,74,16,73,11,28,79,66,24,97,300763,49,804357
368545,64,25,29,39,44,56,98,28,55,48,58,2,98,80,44,96,68,18,21952,28,24389
368560,16,40,85,83,69,44,12,97,65,99,60,84,19,37,79,33,51,18,912673,75,614125
43640,87,36,31,43,33,56,1,56,34,97,61,3,81,70,8,53,62,238328,175616,912673,29791
322271,7,50,33,92,33,74,93,21,89,29,90,65,86,79,18,65,67,41,9261,24389,35937
368565,48,25,3,40,42,30,62,95,99,58,41,56,44,23,29,9,37,84,857375,15,27
368586,35,14,12,22,97,0,25,52,44,71,37,23,30,60,36,21,81,40,140608,4,1728
368606,38,93,69,20,75,53,34,5,54,12,66,91,29,83,17,51,16,36,125,98,328509
368537,32,15,91,20,27,52,81,39,10,12,81,39,37,61,74,90,28,27,59319,85,753571
368549,71,20,17,23,8,96,41,84,82,43,74,39,79,98,36,54,3,9,592704,34,4913
368534,34,51,77,68,54,55,70,13,80,78,68,81,55,48,84,84,99,99,2197,8,456533
368600,41,25,26,65,48,28,40,80,10,67,23,55,12,67,96,81,72,28,512000,20,17576
368596,78,32,83,1,61,78,69,22,54,28,91,80,36,54,81,7,56,28,10648,67,571787
368550,39,45,0,91,62,75,3,70,50,59,42,54,90,2,50,97,19,69,343000,66,0
368557,47,91,60,38,49,36,12,56,49,0,9,15,20,97,29,97,96,0,175616,47,216000
368547,82,33,62,0,32,94,13,63,44,18,1,25,75,20,11,99,21,50,250047,79,238328
368538,88,16,74,62,46,37,5,4,32,25,5,13,48,16,54,4,19,28,64,18,405224
368564,4,17,78,71,19,22,86,54,23,75,93,42,29,29,33,22,64,87,157464,46,474552
368639,82,71,8,14,3,94,62,52,22,74,95,61,48,24,46,55,91,86,24,0,35
368640,14,40,9,46,46,92,51,40,44,55,15,12,49,26,63,39,38,51,22,34,87
368641,49,33,44,98,76,12,3,2,9,51,13,60,59,57,55,19,89,56,81,11,37
368642,54,64,34,44,45,47,72,67,53,92,66,23,82,65,31,6,30,18,35,96,73
368643,90,28,77,13,11,24,11,62,84,89,30,83,32,70,94,24,31,23,67,16,68
368644,65,93,60,8,94,96,2,50,31,35,41,41,83,50,7,21,4,10,57,22,42
368645,20,89,42,84,86,60,52,82,82,58,42,90,63,29,80,89,73,68,11,7,33
